id,type,name,price,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,service_1_interval_days,service_2_interval_days,service_3_interval_days,service_4_interval_days,service_5_interval_days,service_6_interval_days,service_7_interval_days,service_8_interval_days,service_9_interval_days,service_10_interval_days,service_11_interval_days,service_12_interval_days,service_13_interval_days,service_14_interval_days,service_15_interval_days,resale_initial_percent,resale_annual_percent,resale_min_percent,description_html,license_level,license_previous_id,requires_object_ids,license_fee,lifetime_days,availability_days,image_path
wand_ash,artifact,Zauberstab aus Esche & Einhornhaar,150,wand_maintenance,wand_recharge,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,,0,,,,0,0,
wand_oak,artifact,Zauberstab aus Eiche & Phönixfeder,320,wand_maintenance,wand_recharge,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,,0,,,,0,0,
wand_elder,artifact,Zauberstab aus Holunder & Thestralhaar,2400,wand_maintenance,wand_recharge,duelling_wand_repair,duelling_wand_rebuild,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,,0,,,,0,0,
cauldron_pewter,artifact,Zinnkessel,40,cauldron_clean,cauldron_repair,cauldron_replace,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,,0,,,,0,0,
cauldron_copper,artifact,Kupferkessel,120,cauldron_clean,cauldron_repair,cauldron_replace,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,,0,,,,0,0,
cauldron_silver,artifact,Silberkessel,650,cauldron_clean,cauldron_repair,cauldron_replace,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,,0,,,,0,0,
cauldron_gold,artifact,Goldkessel,2200,cauldron_clean,cauldron_repair,cauldron_replace,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,,0,,,,0,0,
textbook_standard,artifact,Standard-Zauberbuchset,60,textbook_replace,library_fee,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,,0,,,,0,0,
textbook_advanced,artifact,Fortgeschrittenes Zauberbuchset,180,textbook_replace,library_fee,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,,0,,,,0,0,
textbook_restricted,artifact,Grimoire aus der Verbotsabteilung,800,textbook_replace,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.9,0.1,,0,,,,0,0,
